Orkney Islands Council|Scapa Pier, Scapa, Orkney. KW15 1SD|GBAUSCFKWLSCF|No
Orkney Islands Council|North & South Piers & Coplands Dock, Stromness Harbour, Stromness, Orkney. KW16 3BH|GBAUSNSKWLSNS|No
P.D Teesport|GBAUTEEMIDTEE|No
P.D Teesport Limited|Hartlepool Dock, 48 Cleveland Road, Hartlepool. TS24 1AH|GBAUHTPHTPHTP|No
PD Port Services Limited|Medina Wharf, Arctic Road, Cowes, Isle of Wight. PO31 7PG|GBAUCOWCOWCOW|No
PD Port Services Limited|Jetty 1-3, Port Of Howden, Howden Dyke, Goole. DN14 7UW|GBAUHDDGOOHDD|No
PD Port Services Limited|GBAUKEATRTKEA|No
Peel Harbour (Isle of Man)|East Quay, Peel, Isle of Man. IM5 1AR|IMAUPELPELPEL|No
Pembroke Port|Pembroke Port and Ferry Terminal, Port Office, The Royal Dockyard, Pembroke Dock, Pembroke. SA72 6TD|GBAUPEDMILPED|No
Penney’s wharf|GBAUSHOSHOPNW|No
Perth & Kinross Council|Perth Harbour. PH2 8BB|GBAUPERDUNPER|No
Peterhead Port Authority|Harbour Office, West Pier, Peterhead. AB42 1DW|GBAUPHDPHDPHD|No
Petroineos Manufacturing Scotland Limited|Jetties 2 and 3, Petroineos Finnart Ocean Terminal, Garelochhead, Dunbartonshire. G84 0EY|GBAUGADGRGFOT|No
Petroineos Manufacturing Scotland Limited|Jetty Heads E1 & E2 ,Grangemouth Dock, Grangemouth, Sterlingshire. FK3 8UE|GBAUGRGGRGE12|No
Phillips 66 Limited|Tetney Marine Terminal - Mono mooring Buoy - Grimsby. DN36 5NX|GBAUTTLHULTTL|No
Poole Harbour Commissioners|New Harbour Road, Hamworthy, Poole, Dorset. BH15 4AJ|GBAUPOOPOOPOO|No
Poole Harbour Commissioners|Hamworthy Wharf, New Harbour Road, Poole. BH15 4AJ|GBAUPOOPOOHWW|No
Poole Harbour Commissioners|Poole Harbour Commissioners, New Harbour Road,Hamworthy, Poole. BH15 4AJ|GBAUPOOPOOPOP1|No
Port Harcon Shipping Company Ltd|Bird Point, Corporation Road, Newport. NP19 4RE|GBAUNPTNPTPHS|No
Port Of Boston Limited|GBAUBOSBOSBOS|No
Port of Mostyn Limited|Mostyn Dock, Holywell, Flintshire. CH8 9HE|GBAUCHEMOSCHE|No
Port of Sheerness Limited (Part of Peel Ports Group)|GBAUCTMMEDNO2|No
Port of Sheerness Ltd|Sheerness Docks, Sheerness, Kent. ME12 1RS|GBAUSHSMEDSHS|No
Port of Sunderland Authority|Capstan House, Greenwells Quay, South Docks, Barrack Street, Sunderland. SR1 2BU|GBAUSUNSUNSUN|No
Port of Tilbury Breakbulk|Leslie Ford House, Tilbury Freeport, Tilbury, Essex. RM18 7EH|GBAUTILLONJWA1|No
Port of Tilbury London Limited|Port of London Cruise Terminal (Afloat), moored at Greenwich Ship Pier, King William Walk, London. SE10 9HT|GBAUGNWLONFCT|No
Port of Tilbury London Limited|Millennium Pier Cruise Terminal, Tower Millennium Pier, Lower Thames Street, London. EC3N 4DT|GBAULONLONTMP|No
Port of Tilbury London Limited|Tilbury 2, CMAT Terminal, Fort Road, West Tilbury, Essex. RM18 8UL|GBAUTILLONT2C|No
